year,geo_name,geo,grads_total
2015,"California","04000US06",565044
2014,"California","04000US06",559287
2013,"California","04000US06",550509
2015,"Texas","04000US48",338078
2014,"New York","04000US36",337566
2015,"New York","04000US36",334972
2013,"New York","04000US36",333690
2013,"Florida","04000US12",324106
2015,"Florida","04000US12",323887
2014,"Texas","04000US48",323298
2014,"Florida","04000US12",321980
2013,"Texas","04000US48",320099
2013,"Illinois","04000US17",229623
2014,"Illinois","04000US17",224285
2015,"Illinois","04000US17",220500
2014,"Pennsylvania","04000US42",207600
2015,"Pennsylvania","04000US42",206218
2013,"Pennsylvania","04000US42",204882
2013,"Arizona","04000US04",192699
2014,"Arizona","04000US04",179574
2015,"Arizona","04000US04",173003
2015,"Ohio","04000US39",170897
2014,"Ohio","04000US39",170366
2013,"Ohio","04000US39",167144
2013,"Michigan","04000US26",150684
2014,"Michigan","04000US26",147664
2015,"Michigan","04000US26",146637
2015,"North Carolina","04000US37",142854
2015,"Georgia","04000US13",140545
2014,"Massachusetts","04000US25",138787
2015,"Massachusetts","04000US25",138475
2015,"Virginia","04000US51",138122
2014,"North Carolina","04000US37",137816
2014,"Virginia","04000US51",136648
2014,"Georgia","04000US13",135457
2013,"Massachusetts","04000US25",135380
2013,"Virginia","04000US51",134263
2013,"Georgia","04000US13",132751
2013,"North Carolina","04000US37",130806
2015,"Washington","04000US53",108019
2013,"Washington","04000US53",107504
2013,"Minnesota","04000US27",107431
2014,"Minnesota","04000US27",106573
2015,"Minnesota","04000US27",106095
2015,"Missouri","04000US29",105678
2015,"Indiana","04000US18",105518
2014,"Indiana","04000US18",104641
2014,"Washington","04000US53",104426
2014,"Missouri","04000US29",103777
2013,"Indiana","04000US18",102921
2013,"Missouri","04000US29",102788
2014,"New Jersey","04000US34",102552
2015,"New Jersey","04000US34",102305
2013,"New Jersey","04000US34",101707
2015,"Wisconsin","04000US55",90700
2013,"Wisconsin","04000US55",90437
2014,"Colorado","04000US08",90018
2015,"Colorado","04000US08",89932
2014,"Wisconsin","04000US55",89251
2013,"Colorado","04000US08",88638
2013,"Iowa","04000US19",88455
2014,"Iowa","04000US19",87423
2015,"Maryland","04000US24",87235
2014,"Maryland","04000US24",86215
2015,"Iowa","04000US19",85953
2013,"Tennessee","04000US47",85868
2014,"Tennessee","04000US47",85711
2013,"Maryland","04000US24",84794
2015,"Tennessee","04000US47",84665
2014,"Kentucky","04000US21",74798
2014,"Louisiana","04000US22",74668
2015,"Louisiana","04000US22",73907
2015,"Kentucky","04000US21",73081
2013,"Kentucky","04000US21",72603
2015,"Alabama","04000US01",69329
2013,"Alabama","04000US01",68763
2015,"Utah","04000US49",68620
2013,"Louisiana","04000US22",68482
2014,"Alabama","04000US01",67168
2014,"Utah","04000US49",66701
2014,"Puerto Rico","04000US72",63074
2013,"Utah","04000US49",62699
2013,"Puerto Rico","04000US72",61688
2015,"Oregon","04000US41",61403
2015,"Puerto Rico","04000US72",60717
2014,"Oregon","04000US41",59761
2013,"Oregon","04000US41",58820
2015,"South Carolina","04000US45",57552
2014,"South Carolina","04000US45",56900
2013,"South Carolina","04000US45",56693
2014,"Oklahoma","04000US40",56615
2015,"Oklahoma","04000US40",56546
2013,"Oklahoma","04000US40",55549
2015,"Connecticut","04000US09",54430
2014,"Connecticut","04000US09",54000
2013,"Connecticut","04000US09",53862
2014,"Kansas","04000US20",52545
2013,"Kansas","04000US20",52471
2015,"Kansas","04000US20",51858
2015,"Arkansas","04000US05",45573
2014,"Arkansas","04000US05",44448
2013,"Arkansas","04000US05",42620
2015,"Mississippi","04000US28",42318
2014,"Mississippi","04000US28",40074
2013,"Mississippi","04000US28",37322
2015,"West Virginia","04000US54",34985
2014,"West Virginia","04000US54",33681
2013,"New Mexico","04000US35",33097
2015,"New Mexico","04000US35",32910
2013,"Nebraska","04000US31",31825
2015,"Nebraska","04000US31",31550
2014,"Nebraska","04000US31",31527
2014,"New Mexico","04000US35",31220
2013,"West Virginia","04000US54",31196
2014,"District of Columbia","04000US11",28168
2015,"District of Columbia","04000US11",27957
2013,"District of Columbia","04000US11",27514
2015,"Nevada","04000US32",26581
2014,"Nevada","04000US32",25099
2015,"New Hampshire","04000US33",24490
2013,"Nevada","04000US32",22717
2013,"Idaho","04000US16",22124
2015,"Idaho","04000US16",22041
2014,"Idaho","04000US16",21894
2014,"New Hampshire","04000US33",21543
2013,"Rhode Island","04000US44",21450
2015,"Rhode Island","04000US44",21309
2014,"Rhode Island","04000US44",21241
2013,"New Hampshire","04000US33",20323
2014,"Hawaii","04000US15",16446
2015,"Maine","04000US23",16057
2014,"Maine","04000US23",15797
2013,"Maine","04000US23",15620
2015,"Hawaii","04000US15",15491
2013,"Hawaii","04000US15",14877
2015,"Delaware","04000US10",14675
2014,"Delaware","04000US10",14157
2013,"Delaware","04000US10",14029
2015,"North Dakota","04000US38",12646
2014,"North Dakota","04000US38",12565
2013,"Vermont","04000US50",12352
2013,"North Dakota","04000US38",12316
2015,"Montana","04000US30",11991
2014,"South Dakota","04000US46",11919
2013,"South Dakota","04000US46",11895
2015,"South Dakota","04000US46",11761
2014,"Montana","04000US30",11259
2014,"Vermont","04000US50",11231
2015,"Vermont","04000US50",11206
2013,"Montana","04000US30",10927
2013,"Wyoming","04000US56",8367
2014,"Wyoming","04000US56",8192
2015,"Wyoming","04000US56",7904
2014,"Alaska","04000US02",7394
2015,"Alaska","04000US02",7346
2013,"Alaska","04000US02",6952
2015,None,"04000US66",885
2015,None,"04000US78",294
2015,None,"04000US60",271
2015,None,"04000US69",151
